ID: 347, Type: Person, Duration: 0.21 seconds, First seen: 1733275045.7199283, Last seen: 1733275045.9298477
ID: 413, Type: Person, Duration: 0.62 seconds, First seen: 1733275045.5442858, Last seen: 1733275046.160077
ID: 652, Type: Person, Duration: 0.44 seconds, First seen: 1733275045.7199283, Last seen: 1733275046.160077
ID: 350, Type: Person, Duration: 0.23 seconds, First seen: 1733275045.9298477, Last seen: 1733275046.160077
ID: 257, Type: Person, Duration: 0.23 seconds, First seen: 1733275045.9298477, Last seen: 1733275046.160077
ID: 357, Type: Person, Duration: 0.45 seconds, First seen: 1733275045.9298477, Last seen: 1733275046.3804712
ID: 340, Type: Person, Duration: 0.22 seconds, First seen: 1733275046.160077, Last seen: 1733275046.3804712
ID: 412, Type: Person, Duration: 0.22 seconds, First seen: 1733275046.160077, Last seen: 1733275046.3804712
ID: 737, Type: Person, Duration: 0.22 seconds, First seen: 1733275046.160077, Last seen: 1733275046.3804712
ID: 649, Type: Person, Duration: 0.45 seconds, First seen: 1733275046.160077, Last seen: 1733275046.6108658
ID: 343, Type: Person, Duration: 0.23 seconds, First seen: 1733275046.3804712, Last seen: 1733275046.6108658
ID: 345, Type: Person, Duration: 0.44 seconds, First seen: 1733275046.3804712, Last seen: 1733275046.8164098
ID: 650, Type: Person, Duration: 0.21 seconds, First seen: 1733275046.6108658, Last seen: 1733275046.8164098
ID: 297, Type: Person, Duration: 3.00 seconds, First seen: 1733275044.0015657, Last seen: 1733275047.0043223
ID: 349, Type: Person, Duration: 0.39 seconds, First seen: 1733275046.6108658, Last seen: 1733275047.0043223
ID: 355, Type: Person, Duration: 0.19 seconds, First seen: 1733275046.8164098, Last seen: 1733275047.0043223
ID: 652, Type: Person, Duration: 0.42 seconds, First seen: 1733275046.8164098, Last seen: 1733275047.23528
ID: 364, Type: Person, Duration: 0.23 seconds, First seen: 1733275047.0043223, Last seen: 1733275047.23528
ID: 296, Type: Person, Duration: 0.23 seconds, First seen: 1733275047.0043223, Last seen: 1733275047.23528
ID: 347, Type: Person, Duration: 0.42 seconds, First seen: 1733275047.0043223, Last seen: 1733275047.4257314
ID: 294, Type: Person, Duration: 0.19 seconds, First seen: 1733275047.23528, Last seen: 1733275047.4257314
ID: 362, Type: Person, Duration: 0.19 seconds, First seen: 1733275047.23528, Last seen: 1733275047.4257314
ID: 661, Type: Person, Duration: 0.19 seconds, First seen: 1733275047.23528, Last seen: 1733275047.4257314
ID: 228, Type: Person, Duration: 0.19 seconds, First seen: 1733275047.23528, Last seen: 1733275047.4257314
ID: 413, Type: Person, Duration: 1.26 seconds, First seen: 1733275046.3804712, Last seen: 1733275047.6359875
ID: 369, Type: Person, Duration: 0.21 seconds, First seen: 1733275047.4257314, Last seen: 1733275047.6359875
ID: 296, Type: Person, Duration: 0.21 seconds, First seen: 1733275047.4257314, Last seen: 1733275047.6359875
ID: 354, Type: Person, Duration: 0.21 seconds, First seen: 1733275047.4257314, Last seen: 1733275047.6359875
ID: 662, Type: Person, Duration: 0.21 seconds, First seen: 1733275047.4257314, Last seen: 1733275047.6359875
ID: 649, Type: Person, Duration: 0.21 seconds, First seen: 1733275047.4257314, Last seen: 1733275047.6359875
ID: 371, Type: Person, Duration: 0.20 seconds, First seen: 1733275047.6359875, Last seen: 1733275047.8357635
